sku,nombre,descripcion,unidad_medida,precio_base,id_categoria
"SKU-001","Tornillo hexagonal 3/8","Tornillo de acero galvanizado para uso industrial","PZA",0.85,"c1baeae0-ce25-4a8d-ba36-454aff0e573a"
"SKU-002","Válvula de paso 1/2","Válvula de cierre rápido para tuberías","PZA",12.50,"d759339f-c81a-4c13-90ef-c8b6e0957d8b"
"SKU-003","Cable eléctrico AWG 12","Cable de cobre flexible con aislamiento PVC","MTR",3.20,"a9af0a91-6a25-4067-a4a4-dfd2b17997f4"
"SKU-004","Caja distribución 8 breakers","Tablero metálico con riel DIN","PZA",145.00,"a9af0a91-6a25-4067-a4a4-dfd2b17997f4"
"SKU-005","Tubería PVC 2m","Tubería resistente para instalaciones sanitarias","MTR",18.75,"d759339f-c81a-4c13-90ef-c8b6e0957d8b"
"SKU-006","Interruptor termomagnético 20A","Protección contra sobrecargas y cortos","PZA",22.40,"a9af0a91-6a25-4067-a4a4-dfd2b17997f4"
"SKU-007","Cinta aislante negra","Cinta de PVC para aislamiento eléctrico","PZA",1.80,"0b47de9c-5aa1-4b7c-a964-3eb1a891e9ba"
"SKU-008","Conector rápido 3/4","Conector de unión para tuberías","PZA",4.90,"d759339f-c81a-4c13-90ef-c8b6e0957d8b"
"SKU-009","Foco LED 18W","Bombilla LED de bajo consumo","PZA",6.50,"6f7ef8e0-fb47-44b9-9b98-b2e3327b7916"
"SKU-010","Tuerca hexagonal 3/8","Tuerca de acero compatible con tornillo 3/8","PZA",0.25,"c1baeae0-ce25-4a8d-ba36-454aff0e573a"
